Nama Produk,Tahun Rilis,CPU,Kapasitas Baterai,RAM,Memori Internal,Kamera Utama,Kamera Selfie,Resolusi,Tipe Layar,Operasi Sistem
Sony Xperia Z3 LTE-A D6616  (Sony Pegasus),Oct 2014,Qualcomm Snapdragon 801 MSM8974AC v3,3100 mAh,3 GB,32 GB,20 MP,2 MP,1080x1920,Color PVA TFT LCD,Google Android 4.4.4 (KitKat)
Sony Xperia Z3v 4G LTE D6708,Oct 2014,Qualcomm Snapdragon 801 MSM8974AC v3,3200 mAh,3 GB,32 GB,20 MP,2 MP,1080x1920,Color PVA TFT LCD,Google Android 4.4.4 (KitKat)
Sony Xperia Z3 WiMAX 2+ SOL26  (Sony Pegasus Anna),Oct 2014,Qualcomm Snapdragon 801 MSM8974AC v3,3100 mAh,3 GB,32 GB,20 MP,2 MP,1080x1920,Color PVA TFT LCD,Google Android 4.4.4 (KitKat)
Sony Xperia Z3 Compact LTE-A SO-02G,Nov 2014,Qualcomm Snapdragon 801 MSM8974AC v3,2600 mAh,2 GB,16 GB,20 MP,2 MP,720x1280,Color IPS TFT LCD,Google Android 4.4.4 (KitKat)
Sony Xperia E3 LTE DTV D2243,Nov 2014,Qualcomm Snapdragon 400 MSM8926,2330 mAh,1 GB,4 GB,4 MP,1 MP,480x854,Color IPS TFT LCD,Google Android 4.4.2 (KitKat)
Sony Xperia A2 4G LTE  (Sony Altair Maki),Mar 2015,Qualcomm Snapdragon 800 MSM8974 v1 (Snapdragon S4 Prime),2300 mAh,2 GB,16 GB,20 MP,2 MP,720x1280,Color PVA TFT LCD,Google Android 5.0 (Lollipop)
Sony Xperia E4 E2104  (Sony Jasmine SS),Mar 2015,MediaTek MT6582,2330 mAh,1 GB,8 GB,4 MP,1 MP,540x960,Color IPS TFT LCD,Google Android 5.0 (Lollipop)
Sony Xperia E4 E2105  (Sony Jasmine SS),Mar 2015,MediaTek MT6582,2330 mAh,1 GB,8 GB,4 MP,1 MP,540x960,Color IPS TFT LCD,Google Android 5.0 (Lollipop)
Sony Xperia E4 Dual DTV E2124  (Sony Jasmine DS),Mar 2015,MediaTek MT6582,2330 mAh,1 GB,8 GB,4 MP,1 MP,540x960,Color IPS TFT LCD,Google Android 5.0 (Lollipop)
Sony Xperia E4 Dual E2114  (Sony Jasmine DS),Mar 2015,MediaTek MT6582,2330 mAh,1 GB,8 GB,4 MP,1 MP,540x960,Color IPS TFT LCD,Google Android 5.0 (Lollipop)
Sony Xperia E4 Dual E2115  (Sony Jasmine DS),Mar 2015,MediaTek MT6582,2330 mAh,1 GB,8 GB,4 MP,1 MP,540x960,Color IPS TFT LCD,Google Android 5.0 (Lollipop)
Sony Xperia J1 Compact LTE D5788,Apr 2015,Qualcomm Snapdragon 800 MSM8974AB v2,2300 mAh,2 GB,16 GB,20 MP,1 MP,720x1280,Color TN-TFT LCD,Google Android 4.4.4 (KitKat)
Sony Xperia M4 Aqua dual LTE E2363  (Sony Tulip DS),Apr 2015,Qualcomm Snapdragon 615 MSM8939,2400 mAh,2 GB,8 GB,12 MP,5 MP,720x1280,Color IPS TFT LCD,Google Android 5.0 (Lollipop)
Sony Xperia M4 Aqua dual LTE E2333  (Sony Tulip DS),Apr 2015,Qualcomm Snapdragon 615 MSM8939,2400 mAh,2 GB,8 GB,12 MP,5 MP,720x1280,Color IPS TFT LCD,Google Android 5.0 (Lollipop)
Sony Xperia M4 Aqua TD-LTE E2353  (Sony Tulip SS),Apr 2015,Qualcomm Snapdragon 615 MSM8939,2400 mAh,2 GB,8 GB,12 MP,5 MP,720x1280,Color IPS TFT LCD,Google Android 5.0 (Lollipop)
Sony Xperia M4 Aqua LTE E2306  (Sony Tulip SS),Apr 2015,Qualcomm Snapdragon 615 MSM8939,2400 mAh,2 GB,16 GB,12 MP,5 MP,720x1280,Color IPS TFT LCD,Google Android 5.0 (Lollipop)
Sony Xperia M4 Aqua LTE E2303  (Sony Tulip SS),Apr 2015,Qualcomm Snapdragon 615 MSM8939,2400 mAh,2 GB,8 GB,12 MP,5 MP,720x1280,Color IPS TFT LCD,Google Android 5.0 (Lollipop)
