Nama Produk,Tahun Rilis,CPU,Kapasitas Baterai,RAM,Memori Internal,Kamera Utama,Kamera Selfie,Resolusi,Tipe Layar,Operasi Sistem
Apple iPhone XR A2108 Dual SIM TD-LTE CN 128GB / A2107  (Apple iPhone 11.8),Sep 2018,Apple A12 Bionic APL1081 / APL1W81 (T8020),2945 mAh,3 GB,128 GB,12 MP,7 MP,828x1792,Color IPS TFT LCD,Apple iOS 12
Apple iPhone XR A1984 TD-LTE NA 128GB  (Apple iPhone 11.8),Sep 2018,Apple A12 Bionic APL1081 / APL1W81 (T8020),2945 mAh,3 GB,128 GB,12 MP,7 MP,828x1792,Color IPS TFT LCD,Apple iOS 12
Apple iPhone XR A2105 Global TD-LTE 128GB  (Apple iPhone 11.8),Sep 2018,Apple A12 Bionic APL1081 / APL1W81 (T8020),2945 mAh,3 GB,128 GB,12 MP,7 MP,828x1792,Color IPS TFT LCD,Apple iOS 12
Apple iPhone XR A2108 Dual SIM TD-LTE CN 256GB / A2107  (Apple iPhone 11.8),Sep 2018,Apple A12 Bionic APL1081 / APL1W81 (T8020),2945 mAh,3 GB,256 GB,12 MP,7 MP,828x1792,Color IPS TFT LCD,Apple iOS 12
Apple iPhone XR A2108 Dual SIM TD-LTE CN 64GB / A2107  (Apple iPhone 11.8),Sep 2018,Apple A12 Bionic APL1081 / APL1W81 (T8020),2945 mAh,3 GB,64 GB,12 MP,7 MP,828x1792,Color IPS TFT LCD,Apple iOS 12
Apple iPhone XR A2106 TD-LTE JP 64GB  (Apple iPhone 11.8),Sep 2018,Apple A12 Bionic APL1081 / APL1W81 (T8020),2945 mAh,3 GB,64 GB,12 MP,7 MP,828x1792,Color IPS TFT LCD,Apple iOS 12
Apple iPhone XR A2106 TD-LTE JP 256GB  (Apple iPhone 11.8),Sep 2018,Apple A12 Bionic APL1081 / APL1W81 (T8020),2945 mAh,3 GB,256 GB,12 MP,7 MP,828x1792,Color IPS TFT LCD,Apple iOS 12
Apple iPhone Xs A2099 Dual SIM TD-LTE CN 64GB  (Apple iPhone 11.2),Sep 2018,Apple A12 Bionic APL1081 / APL1W81 (T8020),2659 mAh,4 GB,64 GB,12 MP,7 MP,1125x2436,AM-OLED,Apple iOS 12
Apple iPhone Xs Max A2101 Global TD-LTE 256GB  (Apple iPhone 11.4),Oct 2018,Apple A12 Bionic APL1081 / APL1W81 (T8020),3179 mAh,4 GB,256 GB,12 MP,7 MP,1242x2688,AM-OLED,Apple iOS 12
Apple iPhone Xs A2097 Global TD-LTE 64GB  (Apple iPhone 11.2),Oct 2018,Apple A12 Bionic APL1081 / APL1W81 (T8020),2659 mAh,4 GB,64 GB,12 MP,7 MP,1125x2436,AM-OLED,Apple iOS 12
Apple iPhone Xs Max A2102 TD-LTE JP 64GB  (Apple iPhone 11.4),Oct 2018,Apple A12 Bionic APL1081 / APL1W81 (T8020),3179 mAh,4 GB,64 GB,12 MP,7 MP,1242x2688,AM-OLED,Apple iOS 12
Apple iPhone Xs Max A2101 Global TD-LTE 64GB  (Apple iPhone 11.4),Oct 2018,Apple A12 Bionic APL1081 / APL1W81 (T8020),3179 mAh,4 GB,64 GB,12 MP,7 MP,1242x2688,AM-OLED,Apple iOS 12
Apple iPhone Xs A2097 Global TD-LTE 256GB  (Apple iPhone 11.2),Oct 2018,Apple A12 Bionic APL1081 / APL1W81 (T8020),2659 mAh,4 GB,256 GB,12 MP,7 MP,1125x2436,AM-OLED,Apple iOS 12
Apple iPhone Xs Max A1921 TD-LTE NA 256GB / A2103  (Apple iPhone 11.4),Oct 2018,Apple A12 Bionic APL1081 / APL1W81 (T8020),3179 mAh,4 GB,256 GB,12 MP,7 MP,1242x2688,AM-OLED,Apple iOS 12
Apple iPhone Xs A1920 TD-LTE NA 64GB  (Apple iPhone 11.2),Oct 2018,Apple A12 Bionic APL1081 / APL1W81 (T8020),2659 mAh,4 GB,64 GB,12 MP,7 MP,1125x2436,AM-OLED,Apple iOS 12
Apple iPhone Xs Max A2102 TD-LTE JP 512GB  (Apple iPhone 11.4),Oct 2018,Apple A12 Bionic APL1081 / APL1W81 (T8020),3179 mAh,4 GB,512 GB,12 MP,7 MP,1242x2688,AM-OLED,Apple iOS 12
Apple iPhone Xs Max A2101 Global TD-LTE 512GB  (Apple iPhone 11.4),Oct 2018,Apple A12 Bionic APL1081 / APL1W81 (T8020),3179 mAh,4 GB,512 GB,12 MP,7 MP,1242x2688,AM-OLED,Apple iOS 12
Apple iPhone Xs A1920 TD-LTE NA 256GB  (Apple iPhone 11.2),Oct 2018,Apple A12 Bionic APL1081 / APL1W81 (T8020),2659 mAh,4 GB,256 GB,12 MP,7 MP,1125x2436,AM-OLED,Apple iOS 12
Apple iPhone Xs Max A1921 TD-LTE NA 64GB / A2103  (Apple iPhone 11.4),Oct 2018,Apple A12 Bionic APL1081 / APL1W81 (T8020),3179 mAh,4 GB,64 GB,12 MP,7 MP,1242x2688,AM-OLED,Apple iOS 12
Apple iPhone Xs Max A2104 Dual SIM TD-LTE CN 256GB  (Apple iPhone 11.6),Oct 2018,Apple A12 Bionic APL1081 / APL1W81 (T8020),3179 mAh,4 GB,256 GB,12 MP,7 MP,1242x2688,AM-OLED,Apple iOS 12
Apple iPhone Xs A2100 Dual SIM TD-LTE CN 256GB  (Apple iPhone 11.2),Nov 2018,Apple A12 Bionic APL1081 / APL1W81 (T8020),2659 mAh,4 GB,256 GB,12 MP,7 MP,1125x2436,AM-OLED,Apple iOS 12
Apple iPhone 11 A2221 Global Dual SIM TD-LTE 64GB  (Apple iPhone 12.1),Sep 2019,Apple A13 Bionic APL1085 / APL1W85 (T8030),3110 mAh,4 GB,64 GB,12 MP,12 MP,828x1792,Color IPS TFT LCD,Apple iOS 13
Apple iPhone 11 A2223 Dual SIM TD-LTE CN 256GB  (Apple iPhone 12.1),Sep 2019,Apple A13 Bionic APL1085 / APL1W85 (T8030),3110 mAh,4 GB,256 GB,12 MP,12 MP,828x1792,Color IPS TFT LCD,Apple iOS 13
Apple iPhone 11 A2223 Dual SIM TD-LTE CN 128GB  (Apple iPhone 12.1),Sep 2019,Apple A13 Bionic APL1085 / APL1W85 (T8030),3110 mAh,4 GB,128 GB,12 MP,12 MP,828x1792,Color IPS TFT LCD,Apple iOS 13
Apple iPhone 11 A2223 Dual SIM TD-LTE CN 64GB  (Apple iPhone 12.1),Sep 2019,Apple A13 Bionic APL1085 / APL1W85 (T8030),3110 mAh,4 GB,64 GB,12 MP,12 MP,828x1792,Color IPS TFT LCD,Apple iOS 13
Apple iPhone 8 A1907 TD-LTE CN 128GB  (Apple iPhone 10.1),Sep 2019,Apple A11 Bionic APL1072 / APL1W72 (T8015),1820 mAh,2 GB,128 GB,12 MP,7 MP,750x1334,Color IPS TFT LCD,Apple iOS 12.4
Apple iPhone 8 Plus A1897 TD-LTE 128GB  (Apple iPhone 10.5),Sep 2019,Apple A11 Bionic APL1072 / APL1W72 (T8015),2675 mAh,3 GB,128 GB,12 MP,7 MP,1080x1920,Color IPS TFT LCD,Apple iOS 12.4
Apple iPhone 8 Plus A1898 TD-LTE JP 128GB  (Apple iPhone 10.2),Sep 2019,Apple A11 Bionic APL1072 / APL1W72 (T8015),2675 mAh,3 GB,128 GB,12 MP,7 MP,1080x1920,Color IPS TFT LCD,Apple iOS 12.4
Apple iPhone 8 Plus A1864 TD-LTE 128GB  (Apple iPhone 10.2),Sep 2019,Apple A11 Bionic APL1072 / APL1W72 (T8015),2675 mAh,3 GB,128 GB,12 MP,7 MP,1080x1920,Color IPS TFT LCD,Apple iOS 12.4
Apple iPhone 8 Plus A1899 TD-LTE CN 128GB  (Apple iPhone 10.2),Sep 2019,Apple A11 Bionic APL1072 / APL1W72 (T8015),2675 mAh,3 GB,128 GB,12 MP,7 MP,1080x1920,Color IPS TFT LCD,Apple iOS 12.4
Apple iPhone 8 A1905 TD-LTE 128GB  (Apple iPhone 10.4),Sep 2019,Apple A11 Bionic APL1072 / APL1W72 (T8015),1821 mAh,2 GB,128 GB,12 MP,7 MP,750x1334,Color IPS TFT LCD,Apple iOS 12.4
Apple iPhone 8 A1906 TD-LTE JP 128GB  (Apple iPhone 10.1),Sep 2019,Apple A11 Bionic APL1072 / APL1W72 (T8015),1821 mAh,2 GB,128 GB,12 MP,7 MP,750x1334,Color IPS TFT LCD,Apple iOS 12.4
Apple iPhone 8 A1863 TD-LTE 128GB  (Apple iPhone 10.1),Sep 2019,Apple A11 Bionic APL1072 / APL1W72 (T8015),1821 mAh,2 GB,128 GB,12 MP,7 MP,750x1334,Color IPS TFT LCD,Apple iOS 12.4
Apple iPhone 11 Pro Max A2161 Dual SIM TD-LTE NA 512GB  (Apple iPhone 12.5),Sep 2019,Apple A13 Bionic APL1085 / APL1W85 (T8030),3969 mAh,4 GB,256 GB,12 MP,12 MP,1242x2688,AM-OLED,Apple iOS 13
Apple iPhone 11 Pro A2215 Global Dual SIM TD-LTE 512GB  (Apple iPhone 12.3),Sep 2019,Apple A13 Bionic APL1085 / APL1W85 (T8030),3046 mAh,4 GB,512 GB,12 MP,12 MP,1125x2436,AM-OLED,Apple iOS 13
Apple iPhone 11 Pro Max A2218 Global Dual SIM TD-LTE 256GB  (Apple iPhone 12.5),Sep 2019,Apple A13 Bionic APL1085 / APL1W85 (T8030),3969 mAh,4 GB,256 GB,12 MP,12 MP,1242x2688,AM-OLED,Apple iOS 13
Apple iPhone 11 Pro Max A2161 Dual SIM TD-LTE NA 256GB  (Apple iPhone 12.5),Sep 2019,Apple A13 Bionic APL1085 / APL1W85 (T8030),3969 mAh,4 GB,256 GB,12 MP,12 MP,1242x2688,AM-OLED,Apple iOS 13
