Nama Produk,Tahun Rilis,CPU,Kapasitas Baterai,RAM,Memori Internal,Kamera Utama,Kamera Selfie,Resolusi,Tipe Layar,Operasi Sistem
Vivo V1Max TD-LTE Dual SIM,Jul 2015,Qualcomm Snapdragon 615 MSM8939,2720 mAh,2 GB,16 GB,13 MP,5 MP,720x1280,Color IPS TFT LCD,Google Android 5.0 (Lollipop)
Vivo X5Pro V Dual SIM TD-LTE,Jul 2015,Qualcomm Snapdragon 615 MSM8939,-,2 GB,16 GB,13 MP,8 MP,1080x1920,AM-OLED,Google Android 5.0.2 (Lollipop)
Vivo X5Pro Dual SIM TD-LTE,Jul 2015,Qualcomm Snapdragon 615 MSM8939,2300 mAh,2 GB,16 GB,13 MP,8 MP,1080x1920,AM-OLED,Google Android 5.0.1 (Lollipop)
Vivo Y937 TD-LTE,Aug 2015,Qualcomm Snapdragon 615 MSM8939,-,2 GB,16 GB,12 MP,5 MP,720x1280,Color TN-TFT LCD,Google Android 5.0.2 (Lollipop)
Vivo Y35A Dual SIM TD-LTE CN,Nov 2015,Qualcomm Snapdragon 410 MSM8916,2300 mAh,2 GB,16 GB,13 MP,5 MP,720x1280,Color IPS TFT LCD,Google Android 5.0.2 (Lollipop)
Vivo Y37A TD-LTE Dual SIM,Dec 2015,MediaTek MT6735,-,2 GB,16 GB,13 MP,5 MP,720x1280,Color IPS TFT LCD,Google Android 5.0.2 (Lollipop)
Vivo Y51 TD-LTE Dual SIM,Dec 2015,Qualcomm Snapdragon 410 MSM8916,2350 mAh,2 GB,16 GB,8 MP,5 MP,540x960,Color IPS TFT LCD,Google Android 5.0.2 (Lollipop)
Vivo Y51A TD-LTE Dual SIM,Dec 2015,Qualcomm Snapdragon 410 MSM8916,2350 mAh,2 GB,16 GB,8 MP,5 MP,540x960,Color IPS TFT LCD,Google Android 5.0.2 (Lollipop)
Vivo X6D Dual SIM TD-LTE / Vivo X6,Dec 2015,MediaTek MT6752,2400 mAh,4 GB,32 GB,13 MP,8 MP,1080x1920,AM-OLED,Google Android 5.1 (Lollipop)
Vivo X6L Dual SIM TD-LTE,Dec 2015,MediaTek MT6753,2400 mAh,4 GB,32 GB,12 MP,8 MP,1080x1920,AM-OLED,Google Android 5.1 (Lollipop)
Vivo X6 Plus D Dual SIM TD-LTE / Vivo X6 Plus,Dec 2015,MediaTek MT6752,3000 mAh,4 GB,64 GB,12 MP,8 MP,1080x1920,AM-OLED,Google Android 5.1 (Lollipop)
Vivo X6 Plus L Dual SIM TD-LTE,Dec 2015,MediaTek MT6752,3000 mAh,4 GB,64 GB,13 MP,8 MP,1080x1920,AM-OLED,Google Android 5.1 (Lollipop)
Vivo X6A Dual SIM TD-LTE,Dec 2015,Qualcomm Snapdragon 615 MSM8939,2400 mAh,4 GB,32 GB,12 MP,8 MP,1080x1920,AM-OLED,Google Android 5.0.2 (Lollipop)
Vivo X6 Plus A Dual SIM TD-LTE,Dec 2015,Qualcomm Snapdragon 615 MSM8939,4000 mAh,4 GB,64 GB,12 MP,8 MP,1080x1920,AM-OLED,Google Android 5.0.2 (Lollipop)
Vivo Y51L TD-LTE Dual SIM,Jan 2016,Qualcomm Snapdragon 410 MSM8916,2350 mAh,2 GB,16 GB,8 MP,5 MP,540x960,Color IPS TFT LCD,Google Android 5.0.2 (Lollipop)
Vivo X6S Plus D Dual SIM TD-LTE,Mar 2016,Qualcomm Snapdragon 620 MSM8976 / Snapdragon 652,3000 mAh,4 GB,64 GB,16 MP,8 MP,1080x1920,AM-OLED,Google Android 5.1.1 (Lollipop)
Vivo X6S Plus L Dual SIM TD-LTE,Mar 2016,Qualcomm Snapdragon 620 MSM8976 / Snapdragon 652,3000 mAh,4 GB,64 GB,16 MP,8 MP,1080x1920,AM-OLED,Google Android 5.1.1 (Lollipop)
Vivo X6S L Dual SIM TD-LTE,Mar 2016,Qualcomm Snapdragon 620 MSM8976 / Snapdragon 652,2400 mAh,4 GB,64 GB,12 MP,8 MP,1080x1920,AM-OLED,Google Android 5.1 (Lollipop)
Vivo X6S Plus A Dual SIM TD-LTE,Mar 2016,Qualcomm Snapdragon 620 MSM8976 / Snapdragon 652,4000 mAh,4 GB,64 GB,16 MP,8 MP,1080x1920,AM-OLED,Google Android 5.1 (Lollipop)
Vivo Y31A TD-LTE Dual SIM,Mar 2016,Qualcomm Snapdragon 410 MSM8916,2100 mAh,1 GB,16 GB,8 MP,1 MP,540x960,Color IPS TFT LCD,Google Android 5.0.2 (Lollipop)
Vivo Y31L TD-LTE Dual SIM,Mar 2016,Qualcomm Snapdragon 410 MSM8916,2200 mAh,1 GB,16 GB,8 MP,5 MP,540x960,Color IPS TFT LCD,Google Android 5.1 (Lollipop)
Vivo Xplay 5 Flagship Edition Dual SIM TD-LTE 128GB,Apr 2016,Qualcomm Snapdragon 820 MSM8996,3600 mAh,6 GB,128 GB,15 MP,8 MP,1440x2560,AM-OLED,Google Android 6.0.1 (Marshmallow)
Vivo V3 A TD-LTE Dual SIM,Apr 2016,Qualcomm Snapdragon 616 MSM8939v2,2550 mAh,3 GB,32 GB,12 MP,8 MP,720x1280,Color IPS TFT LCD,Google Android 5.1.1 (Lollipop)
Vivo Xplay 5 Standard Edition Dual SIM TD-LTE 128GB,Apr 2016,Qualcomm Snapdragon 620 MSM8976 / Snapdragon 652,3600 mAh,4 GB,128 GB,15 MP,8 MP,1440x2560,AM-OLED,Google Android 5.1.1 (Lollipop)
Vivo Xplay 5A Standard Edition Dual SIM TD-LTE 128GB,Apr 2016,Qualcomm Snapdragon 620 MSM8976 / Snapdragon 652,3600 mAh,4 GB,128 GB,15 MP,8 MP,1440x2560,AM-OLED,Google Android 5.1.1 (Lollipop)
Vivo V3Max A TD-LTE Dual SIM,Apr 2016,Qualcomm Snapdragon 620 MSM8976 / Snapdragon 652,3000 mAh,4 GB,32 GB,12 MP,8 MP,1080x1920,Color IPS TFT LCD,Google Android 5.1.1 (Lollipop)
Vivo X6S A Dual SIM TD-LTE,May 2016,Qualcomm Snapdragon 620 MSM8976 / Snapdragon 652,2400 mAh,4 GB,64 GB,12 MP,8 MP,1080x1920,AM-OLED,Google Android 5.1 (Lollipop)
Vivo V3M A TD-LTE Dual SIM,Jun 2016,MediaTek MT6750,2550 mAh,3 GB,16 GB,12 MP,8 MP,720x1280,Color IPS TFT LCD,Google Android 5.1.1 (Lollipop)
Vivo X7 Dual SIM TD-LTE 64GB,Jul 2016,Qualcomm Snapdragon 620 MSM8976 / Snapdragon 652,3000 mAh,4 GB,64 GB,13 MP,15 MP,1080x1920,AM-OLED,Google Android 5.1.1 (Lollipop)
Vivo X7 Plus Dual SIM TD-LTE 128GB,Jul 2016,Qualcomm Snapdragon 620 MSM8976 / Snapdragon 652,4000 mAh,4 GB,64 GB,15 MP,15 MP,1080x1920,AM-OLED,Google Android 5.1.1 (Lollipop)
Vivo X7 Plus Dual SIM TD-LTE 64GB,Jul 2016,Qualcomm Snapdragon 620 MSM8976 / Snapdragon 652,4000 mAh,4 GB,64 GB,15 MP,15 MP,1080x1920,AM-OLED,Google Android 5.1.1 (Lollipop)
imoo Get TD-LTE CN M1000,Jul 2016,MediaTek Helio P10 MT6755,2930 mAh,3 GB,32 GB,12 MP,5 MP,1080x1920,AM-OLED,Google Android 6.0.1 (Marshmallow)
Vivo Y21L 4G Dual SIM TD-LTE IN,Aug 2016,Qualcomm Snapdragon 410 MSM8916,2000 mAh,1 GB,16 GB,5 MP,1 MP,480x854,Color IPS TFT LCD,Google Android 5.1 (Lollipop)
Vivo X7 Dual SIM TD-LTE 128GB,Oct 2016,Qualcomm Snapdragon 620 MSM8976 / Snapdragon 652,3000 mAh,4 GB,128 GB,13 MP,15 MP,1080x1920,AM-OLED,Google Android 5.1.1 (Lollipop)
